"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"1.0.0-incubating","build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSRootDseServlet.java","100","1","100","100","100","100","100","100","100","1","false"
"1.0.0-incubating","build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSStartStopListener.java","258","1","258","258","258","258","258","258","258","1","false"
"1.0.0-incubating","build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java","101","1","101","101","101","101","101","101","101","1","false"
"1.0.0-incubating","build-tools/src/main/java/org/apache/syncope/buildtools/JarSchemaLdifExtractor.java","178","1","178","178","178","178","178","178","178","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/annotation/FormAttributeField.java","32","1","32","32","32","32","32","32","32","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/annotation/SchemaList.java","28","1","28","28","28","28","28","28","28","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/AbstractBaseBean.java","45","1","45","45","45","45","45","45","45","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/SyncopeConstants.java","32","2","36","33","28","28","32","28","16","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java","75","3","88","81","75","75","77","75","25","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/mod/AbstractAttributableMod.java","251","2","271","261","211","211","251","211","125","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/mod/AttributeMod.java","87","1","87","87","87","87","87","87","87","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/mod/MembershipMod.java","82","1","82","82","82","82","82","82","82","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/mod/ReferenceMod.java","45","1","45","45","45","45","45","45","45","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/mod/RoleMod.java","143","1","143","143","143","143","143","143","143","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/mod/UserMod.java","98","1","98","98","98","98","98","98","98","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/report/AbstractReportletConf.java","46","1","46","46","46","46","46","46","46","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/report/ReportletConf.java","32","1","32","32","32","32","32","32","32","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/report/StaticReportletConf.java","102","1","102","102","102","102","102","102","102","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/report/UserReportletConf.java","112","1","112","112","112","112","112","112","112","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/AttributeCond.java","85","1","85","85","85","85","85","85","85","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/MembershipCond.java","57","1","57","57","57","57","57","57","57","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/NodeCond.java","210","1","210","210","210","210","210","210","210","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/ResourceCond.java","41","1","41","41","41","41","41","41","41","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/SyncopeUserCond.java","34","1","34","34","34","34","34","34","34","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/AbstractAttributableTO.java","140","1","140","140","140","140","140","140","140","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/AbstractExecTO.java","85","1","85","85","85","85","85","85","85","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/AccountPolicyTO.java","49","1","49","49","49","49","49","49","49","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/AttributeTO.java","111","1","111","111","111","111","111","111","111","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ConfigurationTO.java","46","1","46","46","46","46","46","46","46","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ConnBundleTO.java","91","1","91","91","91","91","91","91","91","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ConnInstanceTO.java","151","1","151","151","151","151","151","151","151","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ConnObjectTO.java","73","1","73","73","73","73","73","73","73","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/DerivedSchemaTO.java","44","1","44","44","44","44","44","44","44","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/LoggerTO.java","47","1","47","47","47","47","47","47","47","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/MembershipTO.java","66","1","66","66","66","66","66","66","66","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/NotificationTO.java","153","1","153","153","153","153","153","153","153","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/NotificationTaskTO.java","105","1","105","105","105","105","105","105","105","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/PasswordPolicyTO.java","49","1","49","49","49","49","49","49","49","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/PolicyTO.java","53","1","53","53","53","53","53","53","53","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/PropagationTO.java","125","1","125","125","125","125","125","125","125","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java","98","1","98","98","98","98","98","98","98","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java","40","1","40","40","40","40","40","40","40","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ReportTO.java","169","2","169","169","141","141","169","141","84","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ResourceTO.java","235","1","235","235","235","235","235","235","235","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/RoleTO.java","177","1","177","177","177","177","177","177","177","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java","74","1","74","74","74","74","74","74","74","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java","115","1","115","115","115","115","115","115","115","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SchemaTO.java","134","2","134","134","124","124","134","124","67","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java","49","1","49","49","49","49","49","49","49","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java","104","1","104","104","104","104","104","104","104","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/TaskExecTO.java","34","1","34","34","34","34","34","34","34","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/TaskTO.java","101","2","101","101","72","72","101","72","50","2","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java","84","1","84","84","84","84","84","84","84","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/UserTO.java","213","1","213","213","213","213","213","213","213","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java","34","1","34","34","34","34","34","34","34","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java","46","1","46","46","46","46","46","46","46","1","false"
