@relation file_bookkeeper/training_bookkeeper_1
@attribute size numeric
@attribute commit_number numeric
@attribute loc_touched numeric
@attribute loc_added numeric
@attribute max_loc_added numeric
@attribute avg_loc_added numeric
@attribute churn numeric
@attribute max_churn numeric
@attribute avg_churn numeric
@attribute auth_number numeric
@attribute class {true, false}

@data
137,4,303,205,137,137,139,137,34,2,false
244,5,352,256,252,252,262,252,52,2,false
48,3,56,48,48,48,48,48,16,2,false
63,2,67,63,63,63,63,63,31,2,false
237,2,257,237,237,237,237,237,118,2,false
133,3,139,133,133,133,133,133,44,2,false
137,4,150,137,136,136,137,136,34,2,false
177,3,181,177,176,176,177,176,59,2,false
46,2,47,46,46,46,46,46,23,2,false
128,5,137,128,127,127,128,127,25,3,false
149,3,152,149,148,148,149,148,49,2,false
58,2,59,58,58,58,58,58,29,2,false
149,2,152,149,149,149,149,149,74,2,false
74,2,78,74,74,74,74,74,37,2,false
37,1,37,37,37,37,37,37,37,1,false
38,2,40,38,38,38,38,38,19,2,false
39,2,40,39,39,39,39,39,19,2,false
96,4,107,96,95,95,96,95,24,2,false
88,3,91,88,87,87,88,87,29,2,false
71,4,78,71,70,70,71,70,17,2,false
114,4,123,114,113,113,114,113,28,2,false
336,6,418,340,329,329,336,329,56,3,false
84,4,93,84,83,83,84,83,21,2,false
58,3,63,58,58,58,58,58,19,2,false
123,4,130,123,122,122,123,122,30,2,false
231,5,243,231,224,224,231,224,46,2,false
586,4,645,586,585,585,586,585,146,2,false
366,5,390,366,365,365,366,365,73,2,false
99,4,108,99,98,98,99,98,24,2,false
41,1,41,41,41,41,41,41,41,1,false
66,2,79,66,65,65,66,65,33,2,false
54,3,55,54,45,45,54,45,18,3,false
47,2,51,47,47,47,47,47,23,2,false
183,4,205,185,185,185,187,185,46,3,false
49,1,49,49,49,49,49,49,49,1,false
50,1,50,50,50,50,50,50,50,1,false
98,2,100,98,97,97,98,97,49,2,false
138,1,138,138,138,138,138,138,138,1,false
43,1,43,43,43,43,43,43,43,1,false
42,1,42,42,42,42,42,42,42,1,false
56,1,56,56,56,56,56,56,56,1,false
162,2,163,162,162,162,162,162,81,2,false
153,2,155,153,153,153,153,153,76,2,false
43,1,43,43,43,43,43,43,43,1,false
41,2,42,41,41,41,41,41,20,2,false
105,3,159,109,104,104,105,104,35,2,false
105,5,148,105,103,103,105,103,21,3,false
92,4,129,95,91,91,92,91,23,3,false
101,3,151,101,100,100,101,100,33,2,false
45,1,45,45,45,45,45,45,45,1,false
289,2,290,289,289,289,289,289,144,2,false
32,2,35,32,31,31,32,31,16,2,false
111,1,111,111,111,111,111,111,111,1,false
35,2,36,35,35,35,35,35,17,2,false
81,1,81,81,81,81,81,81,81,1,false
27,1,27,27,27,27,27,27,27,1,false
28,1,28,28,28,28,28,28,28,1,false
