"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java","39","2","40","39","39","39","39","39","19","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java","96","4","107","96","95","95","96","95","24","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java","88","3","91","88","87","87","88","87","29","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java","71","4","78","71","70","70","71","70","17","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java","228","5","123","2","113","113","228","114","45","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java","678","7","418","6","329","329","678","342","96","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java","84","4","93","84","83","83","84","83","21","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java","58","3","63","58","58","58","58","58","19","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java","252","5","130","6","122","122","252","129","50","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java","473","6","243","11","224","224","473","242","78","3","true"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java","1268","8","729","96","585","585","1268","608","158","3","true"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java","732","6","390","0","365","365","732","366","122","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java","202","5","108","4","98","98","202","103","40","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java","41","1","41","41","41","41","41","41","41","1","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java","66","2","79","66","65","65","66","65","33","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java","117","4","55","9","45","45","117","63","29","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java","47","2","51","47","47","47","47","47","23","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java","183","4","205","185","185","185","187","185","46","3","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java","49","1","49","49","49","49","49","49","49","1","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/util/Either.java","50","1","50","50","50","50","50","50","50","1","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java","98","2","100","98","97","97","98","97","49","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java","281","2","138","5","138","138","281","143","140","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/util/Option.java","43","1","43","43","43","43","43","43","43","1","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java","42","1","42","42","42","42","42","42","42","1","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java","112","2","56","0","56","56","112","56","56","2","false"
"4.1.0","hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java","162","2","163","162","162","162","162","162","81","2","true"
"4.1.0","hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java","153","2","155","153","153","153","153","153","76","2","false"
"4.1.0","hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java","86","2","43","0","43","43","86","43","43","2","false"
"4.1.0","hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java","41","2","42","41","41","41","41","41","20","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java","105","3","159","109","104","104","105","104","35","2","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java","105","5","148","105","103","103","105","103","21","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java","92","4","129","95","91","91","92","91","23","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java","101","3","151","101","100","100","101","100","33","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java","45","1","45","45","45","45","45","45","45","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java","588","4","294","10","289","289","588","297","147","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java","64","3","35","0","31","31","64","32","21","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java","111","1","111","111","111","111","111","111","111","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java","35","2","36","35","35","35","35","35","17","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java","166","2","81","4","81","81","166","85","83","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java","27","1","27","27","27","27","27","27","27","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java","28","1","28","28","28","28","28","28","28","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java","65","4","32","7","29","29","65","34","16","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java","1140","6","608","8","561","561","1140","569","190","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java","131","3","80","3","64","64","131","67","43","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java","29","2","30","29","29","29","29","29","14","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java","136","3","65","8","64","64","136","72","45","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java","37","2","40","37","37","37","37","37","18","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java","145","3","79","9","68","68","145","77","48","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java","322","4","165","14","153","153","322","168","80","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java","153","3","73","9","72","72","153","81","51","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java","821","9","463","70","364","364","821","377","91","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java","76","2","78","76","76","76","76","76","38","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java","319","4","163","1","158","158","319","160","79","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java","1643","6","1078","181","736","736","1643","764","273","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java","74","2","76","74","74","74","74","74","37","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java","94","3","97","94","93","93","94","93","31","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java","22","1","22","22","22","22","22","22","22","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java","908","5","491","56","426","426","908","439","181","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java","62","1","62","62","62","62","62","62","62","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java","58","2","59","58","58","58","58","58","29","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java","185","3","96","3","91","91","185","94","61","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java","27","2","28","27","27","27","27","27","13","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java","77","2","79","77","77","77","77","77","38","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java","1448","6","773","40","703","703","1448","716","241","3","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java","63","2","67","63","63","63","63","63","31","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java","37","1","37","37","37","37","37","37","37","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java","64","2","65","64","64","64","64","64","32","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java","124","2","127","124","124","124","124","124","62","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java","332","6","182","17","159","159","332","170","55","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java","72","3","41","0","36","36","72","36","24","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java","58","2","60","58","57","57","58","57","29","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java","62","1","62","62","62","62","62","62","62","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java","262","5","142","4","129","129","262","132","52","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java","148","3","76","0","73","73","148","74","49","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java","83","3","86","83","82","82","83","82","27","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java","74","1","74","74","74","74","74","74","74","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java","48","2","50","48","48","48","48","48","24","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java","60","2","61","60","60","60","60","60","30","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java","156","4","76","16","70","70","156","86","39","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java","538","7","221","240","180","180","552","357","78","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java","53","1","53","53","53","53","53","53","53","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java","1064","8","634","169","450","450","1064","478","133","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java","39","1","39","39","39","39","39","39","39","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java","78","2","82","78","78","78","78","78","39","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java","149","3","65","22","64","64","149","85","49","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java","31","2","32","31","31","31","31","31","15","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java","57","2","61","57","57","57","57","57","28","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java","212","3","111","4","104","104","212","108","70","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java","64","2","32","0","32","32","64","32","32","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java","227","3","291","239","226","226","227","226","75","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java","398","5","208","4","187","187","398","201","79","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java","155","3","81","5","75","75","155","80","51","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java","28","1","28","28","28","28","28","28","28","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java","109","3","54","5","52","52","109","57","36","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java","875","5","538","17","428","428","875","446","175","3","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java","104","2","134","104","104","104","104","104","52","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java","70","2","35","0","35","35","70","35","35","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java","98","2","99","98","98","98","98","98","49","2","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java","79","3","94","79","78","78","79","78","26","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java","1790","34","2546","411","545","545","2664","1027","78","4","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java","242","5","126","58","81","81","242","145","48","4","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java","180","4","195","180","168","168","180","168","45","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java","944","21","1415","314","487","487","1304","487","62","4","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java","459","9","266","95","124","124","459","215","51","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java","597","15","1357","108","536","536","1687","565","112","4","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java","211","10","331","38","133","133","457","179","45","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java","320","5","167","6","151","151","320","161","64","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","147","1","147","147","147","147","147","147","147","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java","276","6","356","2","126","126","280","139","46","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java","553","5","280","11","249","249","553","282","110","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java","1130","15","1510","97","410","410","1212","616","80","4","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java","421","7","226","13","204","204","421","209","60","3","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java","105","3","53","5","50","50","105","55","35","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java","369","8","213","2","184","184","373","186","46","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java","126","4","66","10","61","61","126","65","31","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java","307","10","225","21","167","167","331","167","33","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java","81","4","93","82","80","80","81","80","20","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java","84","3","162","113","83","83","84","83","28","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java","1667","21","2160","168","547","547","1675","768","79","4","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java","560","12","360","64","198","198","564","252","47","4","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java","340","10","236","4","140","140","342","171","34","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java","349","12","315","18","178","178","441","196","36","4","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java","151","5","76","22","67","67","151","84","30","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java","334","6","183","4","138","138","334","169","55","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java","362","7","209","16","170","170","362","174","51","4","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java","177","3","88","20","87","87","177","90","59","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java","85","2","86","85","85","85","85","85","42","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java","408","10","255","46","178","178","416","181","41","4","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java","326","7","177","18","75","75","326","159","46","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java","900","20","630","123","209","209","906","452","45","3","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java","132","3","139","132","75","75","132","75","44","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java","1062","12","575","2","521","521","1072","533","89","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java","1297","19","917","125","573","573","1317","618","69","4","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java","148","1","148","148","148","148","148","148","148","1","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java","174","3","184","174","173","173","174","173","58","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java","148","3","158","148","147","147","148","147","49","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java","184","7","1511","0","763","763","1534","763","219","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java","490","9","528","31","209","209","490","235","54","4","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java","54","3","59","54","54","54","54","54","18","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java","38","2","43","38","38","38","38","38","19","2","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java","98","2","102","98","98","98","98","98","49","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java","39","3","49","39","38","38","39","38","13","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java","69","3","123","94","94","94","119","94","39","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java","230","11","197","34","101","101","234","106","21","2","false"
"4.1.0","hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java","12890","3","16712","6461","6095","6095","12890","6523","4296","2","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java","1528","10","1103","75","714","714","1682","790","168","3","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java","157","2","78","1","78","78","157","79","78","2","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java","72","1","72","72","72","72","72","72","72","1","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java","42","1","42","42","42","42","42","42","42","1","false"
"4.1.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java","732","2","369","0","369","369","732","369","366","2","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java","218","4","107","9","61","61","220","114","55","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java","492","7","263","60","216","216","492","238","70","2","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java","926","10","562","177","377","377","936","399","93","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java","536","6","291","31","251","251","536","253","89","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java","368","3","224","6","193","193","410","196","136","2","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java","1021","5","563","18","514","514","1053","517","210","2","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java","413","2","204","5","204","204","413","209","206","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java","291","2","144","3","144","144","291","147","145","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java","196","2","98","0","98","98","196","98","98","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java","94","1","94","94","94","94","94","94","94","1","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java","27","1","27","27","27","27","27","27","27","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java","88","2","89","88","84","84","88","84","44","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java","51","2","54","52","52","52","53","52","26","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java","31","2","35","33","33","33","35","33","17","2","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java","27","2","132","79","79","79","131","79","65","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java","60","1","60","60","60","60","60","60","60","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java","236","1","236","236","236","236","236","236","236","1","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java","90","1","90","90","90","90","90","90","90","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerMXBean.java","58","1","58","58","58","58","58","58","58","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java","400","3","407","400","397","397","400","397","133","2","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java","425","2","430","427","424","424","425","424","212","1","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java","1041","2","1065","1049","1029","1029","1041","1029","520","1","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/admin/console/JLineHedwigCompletor.java","92","1","92","92","92","92","92","92","92","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java","355","2","359","357","357","357","359","357","179","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java","158","3","161","158","157","157","158","157","52","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java","379","4","406","384","216","216","379","211","94","3","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java","509","7","567","531","378","378","541","378","77","3","true"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java","40","1","40","40","40","40","40","40","40","1","false"
"4.1.0","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java","215","3","227","215","177","177","215","177","71","1","false"
"4.1.0","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java","271","2","284","271","260","260","271","260","135","1","false"
"4.1.0","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java","451","5","575","492","425","425","459","425","91","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java","196","2","203","197","195","195","196","195","98","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java","665","2","666","665","665","665","665","665","332","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigJMXService.java","37","1","37","37","37","37","37","37","37","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java","27","1","27","27","27","27","27","27","27","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanRegistry.java","48","1","48","48","48","48","48","48","48","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java","788","7","877","823","712","712","788","712","112","3","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java","32","1","32","32","32","32","32","32","32","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java","66","2","77","69","69","69","72","69","36","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java","88","2","143","113","113","113","138","113","69","1","false"
"4.1.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java","52","2","56","53","53","53","54","53","27","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerBean.java","51","2","52","51","51","51","51","51","25","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerMXBean.java","31","1","31","31","31","31","31","31","31","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerBean.java","77","1","77","77","77","77","77","77","77","1","true"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java","63","1","63","63","63","63","63","63","63","1","false"
"4.1.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/ServerStats.java","191","2","193","191","190","190","191","190","95","1","true"
